ssn,age,education,marital-status,relationship,sex,income
980-24-0087,39,Bachelors,Never-married,,Male,<=50K
852-90-4418,50,Bachelors,,Husband,,
857-45-4043,38,HS-grad,Divorced,,Male,<=50K
534-13-4512,53,11th,Married-civ-spouse,Husband,Male,<=50K
997-79-2488,28,Bachelors,,,Female,
239-29-7250,37,Masters,,Wife,,
973-10-6059,49,9th,Married-spouse-absent,Not-in-family,Female,<=50K
899-61-2111,52,,Married-civ-spouse,,,
482-82-3352,,Masters,Never-married,Not-in-family,Female,>50K
918-13-3662,42,Bachelors,Married-civ-spouse,,Male,
373-28-2372,37,Some-college,,,Male,
630-02-6616,30,Bachelors,Married-civ-spouse,,Male,>50K
585-01-4938,23,Bachelors,Never-married,Own-child,,
655-73-6038,32,Assoc-acdm,,,Male,<=50K
258-76-1032,40,,Married-civ-spouse,Husband,Male,
915-19-9289,34,7th-8th,Married-civ-spouse,Husband,,
952-70-0047,25,HS-grad,Never-married,Own-child,Male,
348-21-9051,32,,,Unmarried,Male,<=50K
311-90-2810,38,,Married-civ-spouse,Husband,Male,<=50K
719-94-2289,43,Masters,Divorced,,,
841-97-4549,40,Doctorate,Married-civ-spouse,Husband,,>50K
898-42-7593,,,Separated,Unmarried,Female,<=50K
358-42-2057,35,9th,Married-civ-spouse,Husband,Male,
200-39-6607,43,,,Husband,Male,<=50K
356-59-1438,59,HS-grad,,Unmarried,Female,
631-29-1896,56,,,Husband,Male,
525-97-7491,19,HS-grad,Never-married,Own-child,,<=50K
482-98-4877,54,Some-college,Married-civ-spouse,,Male,
131-26-3838,39,HS-grad,Divorced,Not-in-family,,<=50K
405-21-0512,49,HS-grad,Married-civ-spouse,,,<=50K
411-34-8468,23,,Never-married,,Male,
581-21-9096,,Some-college,Never-married,Own-child,,
141-43-9923,45,Bachelors,,Own-child,,<=50K
586-54-9427,,Some-college,Married-civ-spouse,Own-child,Male,
640-09-5018,,Some-college,Married-civ-spouse,,,<=50K
845-77-0390,,11th,Never-married,Unmarried,Male,
513-56-6974,21,Some-college,Never-married,Own-child,Male,<=50K
883-16-3465,19,HS-grad,Married-AF-spouse,Wife,,<=50K
766-40-7694,,,Married-civ-spouse,Husband,,>50K
832-09-4593,,Assoc-acdm,,Husband,,<=50K
942-55-0883,31,9th,,Husband,Male,<=50K
523-90-4585,53,Bachelors,Married-civ-spouse,Husband,,
399-79-9419,24,Bachelors,Married-civ-spouse,Husband,Male,<=50K
645-72-1478,49,,Separated,Unmarried,,<=50K
579-28-0794,25,HS-grad,Never-married,Not-in-family,Male,
305-84-5617,57,Bachelors,Married-civ-spouse,Husband,,>50K
901-14-6600,53,HS-grad,Married-civ-spouse,Husband,Male,
309-74-9141,44,Masters,Divorced,Unmarried,Female,
338-82-3671,41,,Married-civ-spouse,Husband,Male,
790-15-1893,29,Assoc-voc,Never-married,Not-in-family,,<=50K
212-43-0232,25,,Married-civ-spouse,,Female,
695-30-9702,18,HS-grad,Never-married,,Female,
608-48-9928,47,Prof-school,Married-civ-spouse,Wife,,>50K
903-48-8714,50,Bachelors,Divorced,Not-in-family,Male,>50K
772-49-1808,47,HS-grad,,,,
173-39-4984,43,,Married-civ-spouse,Husband,,
714-36-9671,46,5th-6th,Married-civ-spouse,Husband,Male,
207-36-9110,35,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
322-77-8838,,HS-grad,Married-civ-spouse,,Male,
875-76-0228,30,HS-grad,,Husband,,<=50K
460-10-2146,30,Bachelors,Married-civ-spouse,,Male,<=50K
289-28-9288,32,7th-8th,Married-spouse-absent,Not-in-family,,<=50K
425-13-1949,48,,Married-civ-spouse,Husband,Male,
266-64-8844,42,Doctorate,Married-civ-spouse,Husband,Male,>50K
157-24-2468,29,Some-college,Divorced,Not-in-family,Male,
381-22-4025,36,HS-grad,Married-civ-spouse,Husband,Male,<=50K
241-55-8602,28,Some-college,Divorced,Not-in-family,Female,<=50K
781-64-4901,53,HS-grad,Married-civ-spouse,Wife,,
396-73-0441,,Some-college,,Husband,,
494-69-5451,25,,Never-married,Own-child,Male,<=50K
473-69-7180,19,Some-college,Never-married,Own-child,,
244-00-8401,31,Bachelors,,Own-child,Female,<=50K
658-23-9678,29,,Married-civ-spouse,,Male,
123-91-4443,23,,Never-married,Not-in-family,Male,
329-72-4420,79,Some-college,,Other-relative,Male,<=50K
242-09-7020,27,HS-grad,Never-married,Own-child,,<=50K
